Date,Open,High,Low,Close,Volume,Ticker,Year-Month
3/4/21,121.75,123.6,118.62,120.13,178154975,AAPL,2021-3
3/5/21,120.98,121.94,117.57,121.42,153766601,AAPL,2021-3
3/8/21,120.93,121,116.21,116.36,154376610,AAPL,2021-3
3/9/21,119.03,122.06,118.79,121.09,129525780,AAPL,2021-3
3/10/21,121.69,122.17,119.45,119.98,111943326,AAPL,2021-3
3/11/21,122.54,123.21,121.26,121.96,103026514,AAPL,2021-3
3/12/21,120.4,121.17,119.16,121.03,88105050,AAPL,2021-3
3/15/21,121.41,124,120.42,123.99,92590555,AAPL,2021-3
3/16/21,125.7,127.22,124.72,125.57,115227936,AAPL,2021-3
3/17/21,124.05,125.86,122.34,124.76,111932636,AAPL,2021-3
3/18/21,122.88,123.18,120.32,120.53,121469755,AAPL,2021-3
3/19/21,119.9,121.43,119.68,119.99,185549522,AAPL,2021-3
3/22/21,120.33,123.87,120.26,123.39,111912284,AAPL,2021-3
3/23/21,123.33,124.24,122.14,122.54,95467142,AAPL,2021-3
3/24/21,122.82,122.9,120.07,120.09,88530485,AAPL,2021-3
3/25/21,119.54,121.66,119,120.59,98844681,AAPL,2021-3
3/26/21,120.35,121.48,118.92,121.21,94071234,AAPL,2021-3
3/29/21,121.65,122.58,120.73,121.39,80819203,AAPL,2021-3
3/30/21,120.11,120.4,118.86,119.9,85671919,AAPL,2021-3
3/31/21,121.65,123.52,121.15,122.15,118323826,AAPL,2021-3
3/1/21,2056.52,2086.52,2046.1,2081.51,1405115,GOOG,2021-3
3/2/21,2076.19,2104.37,2071.26,2075.84,1134595,GOOG,2021-3
3/3/21,2067.21,2088.52,2010,2026.71,1484181,GOOG,2021-3
3/4/21,2023.37,2089.24,2020.27,2049.09,2118006,GOOG,2021-3
3/5/21,2073.12,2118.11,2046.42,2108.54,2195218,GOOG,2021-3
3/8/21,2101.13,2128.81,2021.61,2024.17,1647429,GOOG,2021-3
3/9/21,2070,2078.04,2047.83,2052.7,1697306,GOOG,2021-3
3/10/21,2071.76,2075,2033.37,2055.03,1268592,GOOG,2021-3
3/11/21,2074.06,2125.7,2072.38,2114.77,1239080,GOOG,2021-3
3/12/21,2085,2090.26,2047.55,2061.92,1725794,GOOG,2021-3
